iter	Logloss
0	0.6502730466
1	0.6120681668
2	0.5775415115
3	0.5478924109
4	0.5220635194
5	0.4988437852
6	0.4783187935
7	0.4603601249
8	0.4444334429
9	0.4304477753
10	0.4179999157
11	0.4067982748
12	0.3966414738
13	0.3880571896
14	0.3805468605
15	0.3736447945
16	0.3678923593
17	0.3622038983
18	0.3574361103
19	0.3530685955
20	0.3495590984
21	0.3458613129
22	0.3428247385
23	0.3401185216
24	0.3376833065
25	0.3352837125
26	0.3332579042
27	0.3313430744
28	0.3297481648
29	0.3282797288
30	0.3269055501
31	0.325682736
32	0.3245692058
33	0.3235730908
34	0.3225786005
35	0.3217202917
36	0.3209824248
37	0.3203411473
38	0.319730527
39	0.3192634221
40	0.3187110384
41	0.3182122309
42	0.3177570408
43	0.3172721745
44	0.3168505429
45	0.3164559933
46	0.3161237044
47	0.3158023494
48	0.3155176633
49	0.315279843
50	0.3150472085
51	0.314828702
52	0.314553989
53	0.3143282502
54	0.3141367821
55	0.313950669
56	0.3137641293
57	0.3135923638
58	0.3134470909
59	0.3132690414
60	0.3131259977
61	0.3129680433
62	0.3128481904
63	0.3127042967
64	0.3125750414
65	0.3124422934
66	0.3123408063
67	0.3122284339
68	0.3121231332
69	0.3120450366
70	0.3119284426
71	0.3118326027
72	0.3117207518
73	0.3116553984
74	0.3115736891
75	0.311498379
76	0.3114216485
77	0.3113179225
78	0.311222238
79	0.3111353326
80	0.3110520758
81	0.3109899306
82	0.3108936212
83	0.3108206954
84	0.3107650217
85	0.3106933483
86	0.3106410991
87	0.3105866207
88	0.3105132675
89	0.3104564107
90	0.3103771582
91	0.3103173538
92	0.3102537543
93	0.3101882812
94	0.310122914
95	0.310049711
96	0.3099799902
97	0.309935235
98	0.3098810813
99	0.3098273699
100	0.309793606
101	0.3097381032
102	0.3096741025
103	0.3096249696
104	0.3095723682
105	0.3095088229
106	0.30945312
107	0.3094103362
108	0.3093685405
109	0.3093088418
110	0.3092556891
111	0.3092092607
112	0.3091682823
113	0.3091292265
114	0.3090913379
115	0.3090426741
116	0.3089907292
117	0.3089459025
118	0.3088794157
119	0.308824227
120	0.3087934328
121	0.3087184644
122	0.3086629175
123	0.3086004677
124	0.3085672291
125	0.3085162787
126	0.3084798245
127	0.3084396144
128	0.3083821109
129	0.308347105
130	0.3083036835
131	0.3082594521
132	0.3082144987
133	0.3081769837
134	0.3081365731
135	0.3080830929
136	0.3080391709
137	0.3080049261
138	0.3079601362
139	0.3079333883
140	0.3078954458
141	0.3078583662
142	0.3078067077
143	0.3077684889
144	0.3077177896
145	0.3076935067
146	0.3076629985
147	0.3076313877
148	0.3075945702
149	0.3075628073
150	0.3075276094
151	0.307492337
152	0.3074391839
153	0.307411031
154	0.3073707052
155	0.3073269026
156	0.3072913277
157	0.3072522194
158	0.3072120493
159	0.3071770173
160	0.3071299699
161	0.3070908205
162	0.3070457005
163	0.3070116766
164	0.3069795615
165	0.3069389924
166	0.306894855
167	0.3068696431
168	0.3068368354
169	0.3068042423
170	0.30674839
171	0.306701689
172	0.3066699891
173	0.3066370753
174	0.3066053249
175	0.3065467616
176	0.3065034829
177	0.3064498853
178	0.3064007531
179	0.3063717161
180	0.3063308427
181	0.3062993765
182	0.3062485449
183	0.3061998199
184	0.3061744788
185	0.3061319972
186	0.3061055019
187	0.3060614135
188	0.3060158562
189	0.3059794769
190	0.3059435783
191	0.305924148
192	0.3058888391
193	0.3058496013
194	0.3058292552
195	0.3057914825
196	0.3057366308
197	0.3057087474
198	0.3056682277
199	0.305642432
200	0.3056111531
201	0.3055905946
202	0.3055529339
203	0.3055028767
204	0.3054548243
205	0.3054216049
206	0.3053804195
207	0.3053208386
208	0.3052894737
209	0.3052550341
210	0.305207883
211	0.305172975
212	0.3051159648
213	0.3050768905
214	0.3050338817
215	0.3049922057
216	0.3049587268
217	0.3049309369
218	0.3048935888
219	0.304860263
220	0.3048368454
221	0.3047938445
222	0.3047642798
223	0.3047244025
224	0.3046797689
225	0.3046357639
226	0.3046042053
227	0.3045678657
228	0.3045419898
229	0.304483122
230	0.3044601298
231	0.3043967441
232	0.3043603117
233	0.3043329855
234	0.3043074391
235	0.3042866464
236	0.3042416415
237	0.3041926289
238	0.3041551727
239	0.3041143027
240	0.3040675716
241	0.3040466791
242	0.3040041833
243	0.3039838003
244	0.3039433864
245	0.3038983001
246	0.3038375518
247	0.3038160097
248	0.3037800147
249	0.3037278612
250	0.3036843431
251	0.3036425581
252	0.3035851036
253	0.3035625901
254	0.3034996113
255	0.3034698549
256	0.3034271138
257	0.3034173793
258	0.3033858108
259	0.3033418463
260	0.3033048021
261	0.3032835714
262	0.303238651
263	0.3031867973
264	0.3031464273
265	0.3031191509
266	0.3030780207
267	0.303046669
268	0.3030098244
269	0.3029732065
270	0.302951698
271	0.3029137094
272	0.3028763414
273	0.3028212304
274	0.3027716349
275	0.3027519898
276	0.3027330549
277	0.3026816381
278	0.3026510769
279	0.3026171785
280	0.3025921531
281	0.3025368817
282	0.3025106866
283	0.3024671286
284	0.3024345017
285	0.3023852551
286	0.3023562314
287	0.3023268812
288	0.3022855778
289	0.3022638354
290	0.3022316059
291	0.3022031413
292	0.3021664608
293	0.3021143619
294	0.3020762193
295	0.3020267737
296	0.301999099
297	0.3019562277
298	0.301909502
299	0.3018854645
