iter	Passed	Remaining
0	152	45589
1	159	23797
2	166	16483
3	173	12846
4	180	10658
5	187	9196
6	194	8157
7	202	7405
8	211	6843
9	219	6374
10	227	5972
11	234	5625
12	241	5330
13	248	5081
14	256	4866
15	263	4683
16	271	4520
17	278	4365
18	286	4233
19	293	4114
20	301	4003
21	309	3908
22	316	3816
23	324	3731
24	332	3653
25	339	3581
26	348	3528
27	356	3465
28	365	3416
29	374	3370
30	382	3317
31	390	3268
32	397	3219
33	407	3184
34	415	3149
35	424	3112
36	432	3075
37	440	3036
38	448	3002
39	456	2969
40	465	2943
41	474	2915
42	482	2886
43	491	2858
44	500	2834
45	509	2813
46	518	2793
47	528	2775
48	536	2750
49	545	2727
50	552	2699
51	560	2673
52	568	2648
53	575	2623
54	583	2598
55	590	2573
56	599	2557
57	611	2549
58	622	2542
59	633	2535
60	645	2530
61	656	2520
62	665	2504
63	676	2493
64	684	2475
65	693	2458
66	702	2441
67	710	2425
68	720	2411
69	735	2415
70	744	2400
71	757	2398
72	765	2379
73	773	2363
74	781	2344
75	788	2323
76	796	2307
77	804	2289
78	811	2271
79	818	2251
80	826	2234
81	834	2217
82	841	2199
83	848	2182
84	854	2162
85	864	2149
86	874	2140
87	883	2129
88	893	2118
89	901	2103
90	910	2090
91	918	2075
92	925	2059
93	932	2044
94	940	2029
95	947	2012
96	954	1997
97	960	1980
98	968	1966
99	975	1951
100	983	1936
101	990	1923
102	998	1909
103	1006	1896
104	1013	1882
105	1020	1868
106	1029	1856
107	1036	1842
108	1043	1828
109	1051	1816
110	1059	1804
111	1068	1793
112	1076	1780
113	1086	1772
114	1095	1762
115	1104	1751
116	1113	1741
117	1121	1729
118	1129	1717
119	1137	1705
120	1144	1692
121	1152	1681
122	1159	1668
123	1167	1656
124	1174	1644
125	1181	1631
126	1189	1620
127	1198	1610
128	1206	1598
129	1213	1587
130	1220	1575
131	1228	1563
132	1236	1552
133	1244	1541
134	1251	1530
135	1259	1518
136	1266	1507
137	1274	1495
138	1280	1483
139	1288	1472
140	1295	1460
141	1302	1449
142	1309	1437
143	1316	1426
144	1323	1414
145	1331	1404
146	1338	1393
147	1346	1382
148	1353	1371
149	1359	1359
150	1367	1349
151	1374	1338
152	1382	1327
153	1389	1317
154	1396	1306
155	1403	1295
156	1412	1286
157	1419	1276
158	1427	1265
159	1434	1255
160	1442	1245
161	1450	1235
162	1459	1226
163	1467	1216
164	1475	1207
165	1484	1198
166	1493	1189
167	1502	1180
168	1510	1170
169	1519	1161
170	1527	1152
171	1538	1144
172	1549	1137
173	1562	1131
174	1572	1122
175	1581	1114
176	1591	1106
177	1601	1097
178	1611	1089
179	1621	1080
180	1630	1072
181	1640	1063
182	1655	1058
183	1667	1050
184	1679	1043
185	1690	1036
186	1700	1027
187	1710	1019
188	1719	1009
189	1727	1000
190	1736	990
191	1744	981
192	1753	972
193	1764	964
194	1773	955
195	1783	946
196	1793	937
197	1803	928
198	1811	919
199	1821	910
200	1833	903
201	1843	894
202	1853	885
203	1863	876
204	1873	868
205	1882	858
206	1891	849
207	1900	840
208	1909	831
209	1917	821
210	1926	812
211	1934	803
212	1943	793
213	1952	784
214	1960	775
215	1969	765
216	1977	756
217	1986	747
218	1994	737
219	2004	728
220	2013	719
221	2022	710
222	2030	700
223	2038	691
224	2047	682
225	2056	673
226	2068	665
227	2078	656
228	2087	647
229	2101	639
230	2120	633
231	2140	627
232	2164	622
233	2178	614
234	2187	605
235	2198	596
236	2209	587
237	2219	578
238	2228	568
239	2237	559
240	2245	549
241	2253	540
242	2262	530
243	2271	521
244	2280	511
245	2288	502
246	2297	492
247	2305	483
248	2313	473
249	2321	464
250	2329	454
251	2338	445
252	2347	436
253	2356	426
254	2363	417
255	2371	407
256	2380	398
257	2388	388
258	2396	379
259	2404	369
260	2413	360
261	2421	351
262	2428	341
263	2435	332
264	2443	322
265	2452	313
266	2462	304
267	2472	295
268	2482	286
269	2493	277
270	2508	268
271	2518	259
272	2528	250
273	2537	240
274	2547	231
275	2556	222
276	2565	212
277	2574	203
278	2583	194
279	2593	185
280	2606	176
281	2617	167
282	2628	157
283	2638	148
284	2647	139
285	2656	130
286	2665	120
287	2674	111
288	2683	102
289	2691	92
290	2699	83
291	2708	74
292	2716	64
293	2723	55
294	2732	46
295	2743	37
296	2752	27
297	2761	18
298	2771	9
299	2780	0
